clip_key,corpus,video_id,category,audio_only_ok,alignment_cosine,accessibility_gap,description_gain,P_AV_T,P_A_T,P_AD_T,vertices_ok,av_a_temporal_mismatch
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Q76JRCyTnSc_000007_000017,Food & Cooking,True,0.9955404388069582,0.16836341087619067,-0.17060595919423194,10,10,20,True,False
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,058y9xGmmTQ_000206_000216,Food & Cooking,True,0.9002979938310343,0.08463107648035506,-0.1852921302406726,11,11,29,True,False
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,True,0.9640192480894442,0.09844685606074888,-0.12907377515885177,10,11,21,True,True
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,True,0.9932085395363259,0.2986524298433463,-0.13870976286210657,10,11,30,True,True
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,PbGvLf7HvXQ_000063_000073,Food & Cooking,True,0.9840319747479354,0.15166239091569766,-0.15426213447196913,11,11,26,True,False
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,0HEi6q3bGaw_000011_000021,Travel,True,0.9999999999974346,0.15769971883021694,-0.353919165406309,11,11,21,True,False
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,09dQut5GJ68_000049_000059,Travel,True,0.9970966618715914,0.1831457757375946,-0.23516921419147596,11,11,18,True,False
inbench_clip_08_hOirknJr3os_000001_000011,inbench,hOirknJr3os_000001_000011,Travel,True,0.9784949764418776,0.1798257689921754,-0.17446029667303486,10,11,26,True,True
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,TF4q9y0rJoc_000000_000010,Sports,True,0.0,0.17728451159853975,-0.5190908440372033,11,11,18,True,False
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,z8Q-s8AthrA_000002_000012,Sports,True,0.9010932522109787,0.10972697491725192,-0.4428179301693753,10,11,30,True,True
inbench_clip_12_abaLFY_GI8k_000295_000305,inbench,abaLFY_GI8k_000295_000305,Sports,True,0.9970966668619787,0.2719454709480146,-0.07203530430871374,11,11,28,True,False
inbench_clip_13_KFcH6BYZWhc_000011_000021,inbench,KFcH6BYZWhc_000011_000021,Sports,True,0.9974270853414056,0.09130382412366711,-0.3302402518747758,10,10,31,True,False
inbench_clip_14_UDD6YcChywc_000000_000010,inbench,UDD6YcChywc_000000_000010,Sports,True,0.9999999999965444,0.3433712825438816,-0.38504831692161484,10,11,20,True,True
inbench_clip_15_OGWuj_FtaQc_000010_000020,inbench,OGWuj_FtaQc_000010_000020,Pets & Animals,True,0.0,0.19226284953845307,-0.5518449171324935,10,11,21,True,True
inbench_clip_16_kOf-vl-GmVI_000115_000125,inbench,kOf-vl-GmVI_000115_000125,Pets & Animals,True,0.9999999999970711,0.1540310432853198,-0.26891422567072076,11,11,19,True,False
inbench_clip_17_gjoZic4WjiQ_000012_000022,inbench,gjoZic4WjiQ_000012_000022,Pets & Animals,True,0.9920502516547521,0.12337978782273751,-0.20362789203162757,11,11,27,True,False
inbench_clip_18_q2ZBVyR1k-U_000021_000031,inbench,q2ZBVyR1k-U_000021_000031,Pets & Animals,True,0.9634328062314222,0.14019508205815057,-0.01802134102727615,10,11,25,True,True
inbench_clip_19_qIWQHyOIpEY_000003_000013,inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,True,0.9886151827484192,0.12573551572242592,-0.5164259212963715,10,11,23,True,True
external_0m0-Q0zz_-c_000112_000122,external,0m0-Q0zz_-c_000112_000122,How-to & Instructional,True,0.8129998846011107,0.06007087608244499,-0.09042841386298583,11,11,23,True,False
external_0t0DB1B1w8Y_000000_000010,external,0t0DB1B1w8Y_000000_000010,Sports,True,0.0,0.07205117390908244,-0.530134258543014,6,6,24,True,False
external_1-jIze6gy0g_000026_000036,external,1-jIze6gy0g_000026_000036,How-to & Instructional,True,0.0,0.18127637388283402,-0.6960325611427942,10,11,28,True,True
external_1HUWWCLza0w_000000_000010,external,1HUWWCLza0w_000000_000010,Sports,True,0.97476659377902,0.13448063106879748,-0.25827869415906424,9,9,30,True,False
external_1YemrpNBpf4_000001_000011,external,1YemrpNBpf4_000001_000011,Entertainment,True,0.9802584066936912,0.14508910167583222,-0.14497626938464525,10,11,19,True,True
external_1kLhK8KfIEw_000020_000030,external,1kLhK8KfIEw_000020_000030,How-to & Instructional,True,0.0,0.3315123449046128,-0.47696340627222894,10,11,16,True,True
external_21T1JDdJgsM_000047_000057,external,21T1JDdJgsM_000047_000057,Entertainment,True,0.989744801849075,0.09763596318416057,-0.5321488745773904,11,11,22,True,False
external_2kJxrcNRS9w_000047_000057,external,2kJxrcNRS9w_000047_000057,Sports,True,0.0,0.20958406116872852,-0.53602844955149,11,11,17,True,False
external_3su234u58DA_000172_000182,external,3su234u58DA_000172_000182,Entertainment,True,0.9589324070987099,0.09881634712057208,-0.25611923001816705,11,11,36,True,False
external_3ufJNSez5Is_000008_000018,external,3ufJNSez5Is_000008_000018,How-to & Instructional,True,0.9983918225898651,0.11843659178237897,-0.2785223001738416,10,11,27,True,True
external_750QhTe9Z4U_000000_000010,external,750QhTe9Z4U_000000_000010,People & Vlogs,True,0.9980255376621668,0.14713961311655743,-0.3529094155897128,10,11,28,True,True
external_8vkNr_eysXY_000002_000012,external,8vkNr_eysXY_000002_000012,How-to & Instructional,True,0.9869083599526195,0.28544253278590037,-0.12110402162713141,10,10,26,True,False
external_9eBhetL8n5Q_000222_000232,external,9eBhetL8n5Q_000222_000232,People & Vlogs,True,0.9739274065493341,0.08706709611323915,-0.049417324571880195,11,11,33,True,False
external_9fuIpQgnNEQ_000049_000059,external,9fuIpQgnNEQ_000049_000059,Event,True,0.9999999999980427,0.059317410929392245,-0.3498371936054525,11,11,25,True,False
external_A0e7Z55s8pE_000008_000018,external,A0e7Z55s8pE_000008_000018,How-to & Instructional,True,0.9840620116192864,0.20038740685368284,-0.21432209918925038,6,6,18,True,False
external_AEkLDauJVi0_000069_000079,external,AEkLDauJVi0_000069_000079,Food & Cooking,True,0.9956350417005116,0.2927704809327547,-0.07002787703105784,11,11,26,True,False
external_BHxn3qfPAl4_000018_000028,external,BHxn3qfPAl4_000018_000028,Health & Wellness,True,0.0,0.24304902467431522,-0.44231971182387236,10,11,18,True,True
external_BcW6Y7eufQE_000239_000249,external,BcW6Y7eufQE_000239_000249,People & Vlogs,True,0.9895052700154282,0.1366415140927154,-0.08231350089335776,11,11,23,True,False
external_Bss3WwpDdS8_000041_000051,external,Bss3WwpDdS8_000041_000051,People & Vlogs,True,0.9968915529960043,0.08183499042899356,-0.27074525945690897,11,11,37,True,False
external_Ccgwurislg8_000082_000092,external,Ccgwurislg8_000082_000092,How-to & Instructional,True,0.0,0.26079431953837284,-0.29950687525160175,10,11,21,True,True
external_D297atE3gag_000203_000213,external,D297atE3gag_000203_000213,How-to & Instructional,True,0.9697436708784817,0.08751459644998993,-0.015457330812422954,10,11,36,True,True
external_EA3HCx0yTIY_000281_000291,external,EA3HCx0yTIY_000281_000291,Music,True,0.0,0.24461457565097622,-1.040706060420204,11,11,16,True,False
external_F-mRnL_XmJU_000000_000010,external,F-mRnL_XmJU_000000_000010,Entertainment,True,0.9990789477223323,0.22856270395830125,-0.17067198456600197,10,10,19,True,False
external_GOH6fBhoi2o_000010_000020,external,GOH6fBhoi2o_000010_000020,Entertainment,True,0.0,0.3961782650029143,-0.6411825201878115,10,10,19,True,False
external_HpRmj5ce32c_000001_000011,external,HpRmj5ce32c_000001_000011,Sports,True,0.9969033955437425,0.276380794057565,-0.5413952395316871,11,11,26,True,False
external_N-LZPc27kjM_000229_000239,external,N-LZPc27kjM_000229_000239,How-to & Instructional,True,0.9948293668204518,0.09554951254932365,-0.15636603003902982,10,11,30,True,True
external_OASCPKazLIM_000132_000142,external,OASCPKazLIM_000132_000142,How-to & Instructional,True,0.0,0.18390168094751747,-0.1474455029442422,11,11,24,True,False
external_RjPp0ZPW0yc_000000_000010,external,RjPp0ZPW0yc_000000_000010,How-to & Instructional,True,0.0,0.2282156072672632,-0.4170288343487258,11,11,21,True,False
external_RlfVK8z5wJ0_000000_000010,external,RlfVK8z5wJ0_000000_000010,Sports,True,0.0,0.1645468950413399,-0.5299760920847479,10,11,22,True,True
external_S-C86j0keqc_000217_000227,external,S-C86j0keqc_000217_000227,Event,True,0.9958059497810471,0.1053204411955001,-0.5154061041421358,11,11,23,True,False
