video_id,category,surface,target,pro_margin,need_z,mean_speech_density,mean_standard_slot_score,audio_context_source,audio_context_word_count,audio_overlap_penalty,residual_term_count,residual_person_terms,residual_action_terms,residual_spatial_terms,residual_emotion_terms,residual_visual_terms,residual_text,residual_action,residual_reason
Bss3WwpDdS8_000041_000051,People & Vlogs,identity_chip,1,-0.0058573484420775,0.8936501347899949,1.0,0.0,tier_summary_proxy,20,0.2,33,0,0,1,1,adding animated around atmosphere blurs capturing conversation cozy directly dynamic each energy engaging enjoy excitement gathered gathering hair interacting joins lively long movement moving,adding animated around atmosphere blurs capturing conversation cozy directly dynamic each energy engaging enjoy excitement gathered gathering hair interacting joins lively long movement moving occasionally other reveal room scene shifts time together warm,queue_residual_replay,dense_audio_high_need_and_many_residual_terms
heWD9j45Emw_000225_000235,Music,defer_replay,1,-0.0077040195465087,0.8301969952637808,1.0,0.0,tier_summary_proxy,22,0.22727272727272727,25,1,2,0,0,atmosphere brightly center colorful energetically enhancing fellow festive flashing illuminated latino lights lit man move performs piece play plays rhythmically saxophone surrounded trumpet vibrant,atmosphere brightly center colorful energetically enhancing fellow festive flashing illuminated latino lights lit man move performs piece play plays rhythmically saxophone surrounded trumpet vibrant who,queue_residual_replay,dense_audio_high_need_and_many_residual_terms
750QhTe9Z4U_000000_000010,People & Vlogs,identity_chip,1,-0.0099959671497344,0.6936954164548245,1.0,0.0,tier_summary_proxy,16,0.09302325581395349,29,2,1,1,1,adult alongside another boy capturing confidently drives engaging equipped front fun glasses grassy hoodie large learning lively loader man moment nearby observes scene smiles,adult alongside another boy capturing confidently drives engaging equipped front fun glasses grassy hoodie large learning lively loader man moment nearby observes scene smiles steers supervised walking wearing which,queue_residual_replay,dense_audio_high_need_and_many_residual_terms
Z5w-wkrjHuw_000345_000355,Entertainment,creator_qc,1,-0.0116714239120483,0.5991447174976808,1.0,0.0,tier_summary_proxy,22,0.1111111111111111,28,0,0,2,0,across around atmosphere circles colorful creating energetic enhancing experience filled floor glide groups hands hold joyful lights lively move music perimeter skate skaters smoothly,across around atmosphere circles colorful creating energetic enhancing experience filled floor glide groups hands hold joyful lights lively move music perimeter skate skaters smoothly synchronized unison vibrant wooden,residual_concise_cue,dense_audio_requires_short_residual_visual_state
BcW6Y7eufQE_000239_000249,People & Vlogs,identity_chip,0,0.0053174495697022,0.5916767968994724,1.0,0.0,tier_summary_proxy,22,0.022222222222222223,25,1,0,2,2,across adjusts atmosphere conversation cozy creating engage filled friendly giggles hair hearted hoodie interaction laughter light lively older prompting room short sits warm woman,across adjusts atmosphere conversation cozy creating engage filled friendly giggles hair hearted hoodie interaction laughter light lively older prompting room short sits warm woman young,residual_concise_cue,dense_audio_requires_short_residual_visual_state
_oAKCHh_Av4_000003_000013,People & Vlogs,identity_chip,1,-0.0093735456466674,0.7355243890559219,0.7975383620689656,0.123465428144443,tier_summary_proxy,16,0.14705882352941177,20,0,0,2,3,atmosphere both cloud cozy device does exhales friendly holding inhales laughter living moment nearby relaxed room share sits smiling vapor,atmosphere both cloud cozy device does exhales friendly holding inhales laughter living moment nearby relaxed room share sits smiling vapor,queue_residual_replay,dense_audio_high_need_and_many_residual_terms
ShSSAEfnyDs_000000_000010,Entertainment,identity_chip,1,-0.0016181170940399,0.5747640399684132,1.0,0.0,tier_summary_proxy,20,0.10256410256410256,19,1,0,0,0,another away back blocking camera causing covers dozing forehead hand leans momentarily person pushes react seat stir view wearing,another away back blocking camera causing covers dozing forehead hand leans momentarily person pushes react seat stir view wearing,residual_concise_cue,dense_audio_requires_short_residual_visual_state
21T1JDdJgsM_000047_000057,Entertainment,identity_chip,1,-0.0218336582183838,0.5303533079970656,1.0,0.0,tier_summary_proxy,26,0.225,21,0,1,1,0,accidentally across captures causing day erratically fall green hits lighthearted men mishap moment playfully riding scene shirt stands sunny two unexpected,accidentally across captures causing day erratically fall green hits lighthearted men mishap moment playfully riding scene shirt stands sunny two unexpected,residual_concise_cue,dense_audio_requires_short_residual_visual_state
1YemrpNBpf4_000001_000011,Entertainment,identity_chip,1,-0.0584123134613037,0.7192337649297734,0.5609116000000001,0.3700661146394458,tier_summary_proxy,24,0.2,17,1,0,1,0,approaches discomfort expression holding man mix paint pink quickly reveal room shirt sleeve stands surprise white young,approaches discomfort expression holding man mix paint pink quickly reveal room shirt sleeve stands surprise white young,describe_residual_now,visual_need_high_and_audio_proxy_does_not_cover_candidate
zTJ0Zbv1jBo_000045_000055,Health & Wellness,identity_chip,0,0.0357650518417357,0.5486250133412526,0.704495004995005,0.1316996180129492,tier_summary_proxy,22,0.2702702702702703,18,0,2,2,0,across carpeted daughter discuss moving named old phone room running sarah shifts speaks three tiptoes toes walks year,across carpeted daughter discuss moving named old phone room running sarah shifts speaks three tiptoes toes walks year,static_ok,low_residual_or_low_need
