video_id,category,ok,msg,alignment_cosine,accessibility_gap,description_gain,audio_only_ok,video_mean_lh,video_mean_rh,video_ad_mean_lh,video_ad_mean_rh
3ufJNSez5Is_000008_000018,How-to & Instructional,True,"gap 0.118, DG -0.279",0.9983918225898651,0.11843659178237897,-0.2785223001738416,True,0.01829530857503414,0.049489304423332214,0.01877230405807495,0.04887690395116806
_oAKCHh_Av4_000003_000013,People & Vlogs,True,"gap 0.190, DG -0.005",0.9751880787857375,0.19014348298258033,-0.00468318201012774,True,-0.0053651523776352406,0.03494818136096001,-0.019687389954924583,0.02454373426735401
BHxn3qfPAl4_000018_000028,Health & Wellness,True,"gap 0.243, DG -0.442",0.0,0.24304902467431522,-0.44231971182387236,True,-0.01610351912677288,0.005337048321962357,-0.01610351912677288,0.005337048321962357
BcW6Y7eufQE_000239_000249,People & Vlogs,True,"gap 0.137, DG -0.082",0.9895052700154282,0.1366415140927154,-0.08231350089335776,True,0.02885180525481701,0.07766559720039368,0.023147860541939735,0.07158131897449493
EA3HCx0yTIY_000281_000291,Music,True,"gap 0.245, DG -1.041",0.0,0.24461457565097622,-1.040706060420204,True,-0.039635855704545975,-0.022159188985824585,-0.039635855704545975,-0.022159188985824585
j6CgiNeWQwM_000842_000852,Food & Cooking,True,"gap 0.259, DG -0.156",0.0,0.2593017481760773,-0.1559845824910958,True,0.0182513315230608,0.03627345710992813,0.0182513315230608,0.03627345710992813
9fuIpQgnNEQ_000049_000059,Event,True,"gap 0.059, DG -0.350",0.9999999999980427,0.059317410929392245,-0.3498371936054525,True,-0.0042046611197292805,0.043516796082258224,-0.0042046611197292805,0.043516796082258224
u-olDM7oGGM_000012_000022,Health & Wellness,True,"gap 0.127, DG -0.216",0.9724902192967442,0.12743765015316133,-0.216443639550018,True,0.05805015563964844,0.09488475322723389,0.028474312275648117,0.05970387160778046
eb-ufaFcUas_000008_000018,Entertainment,True,"gap 0.056, DG -0.456",0.9958715294168635,0.055594638105383676,-0.45566396364880446,True,0.016307730227708817,0.03913819044828415,0.011285267770290375,0.03335437551140785
heWD9j45Emw_000225_000235,Music,True,"gap 0.103, DG -0.396",0.9961179865402316,0.10306860522075945,-0.3961792324775565,True,0.00888851098716259,0.03844215348362923,0.0071486555971205235,0.03636231645941734
2kJxrcNRS9w_000047_000057,Sports,True,"gap 0.210, DG -0.536",0.0,0.20958406116872852,-0.53602844955149,True,-0.010695054195821285,0.008247079327702522,-0.010695054195821285,0.008247079327702522
OASCPKazLIM_000132_000142,How-to & Instructional,True,"gap 0.184, DG -0.147",0.0,0.18390168094751747,-0.1474455029442422,True,0.032414548099040985,0.027728930115699768,0.032414548099040985,0.027728930115699768
j4CKRgv3jUg_000000_000010,Entertainment,True,"gap 0.198, DG -0.084",0.8776279495608017,0.19822803697395375,-0.08351883946100314,True,0.0443636029958725,0.07096424698829651,0.010279367677867413,0.027197835966944695
N-LZPc27kjM_000229_000239,How-to & Instructional,True,"gap 0.096, DG -0.156",0.9948293668204518,0.09554951254932365,-0.15636603003902982,True,0.02767697535455227,0.044640183448791504,0.01747874915599823,0.037929508835077286
RlfVK8z5wJ0_000000_000010,Sports,True,"gap 0.165, DG -0.530",0.0,0.1645468950413399,-0.5299760920847479,True,-0.001848498359322548,0.021054137498140335,-0.001848498359322548,0.021054137498140335
_TKzyWZHjm8_000002_000012,Health & Wellness,True,"gap 0.131, DG -0.684",0.0,0.1308002538681644,-0.684058235477668,True,-0.03568996861577034,0.007372443098574877,-0.03568996861577034,0.007372443098574877
F-mRnL_XmJU_000000_000010,Entertainment,True,"gap 0.229, DG -0.171",0.9990789477223323,0.22856270395830125,-0.17067198456600197,True,0.01900334842503071,0.0448022224009037,0.01793566718697548,0.04394622892141342
g8Idd47kGqo_000037_000047,Entertainment,True,"gap 0.243, DG -0.344",0.0,0.24311641316027965,-0.34407470295725096,True,-0.004127732012420893,0.030108854174613953,-0.004127732012420893,0.030108854174613953
ShSSAEfnyDs_000000_000010,Entertainment,True,"gap 0.082, DG -0.591",0.9956274254172621,0.08229304085841571,-0.5905645985997512,True,-0.01873639225959778,0.013387910090386868,-0.015535050071775913,0.017034484073519707
d7_SY48r__8_000060_000070,How-to & Instructional,True,"gap 0.418, DG -0.283",0.0,0.41756418063859524,-0.2832248487870783,True,0.01009521633386612,0.02241327427327633,0.01009521633386612,0.02241327427327633
xW6hpK-DBMY_000080_000090,How-to & Instructional,True,"gap 0.076, DG -0.177",0.9574822738439321,0.07645312735790255,-0.17719854386497513,True,0.010418069548904896,0.01773221790790558,-0.002589491428807378,0.015598186291754246
iEAWgsSvJAE_000023_000033,Film & Animation,True,"gap 0.131, DG -0.923",0.0,0.1313394420555405,-0.9228958502099776,True,-0.007766666356474161,0.01844269223511219,-0.007766666356474161,0.01844269223511219
3su234u58DA_000172_000182,Entertainment,True,"gap 0.099, DG -0.256",0.9589324070987099,0.09881634712057208,-0.25611923001816705,True,0.01503379549831152,0.06487548351287842,0.0004894586745649576,0.0437692329287529
v2Hr1CH-yb0_000076_000086,How-to & Instructional,True,"gap 0.324, DG -0.446",0.0,0.3238461558501835,-0.4462028787576112,True,-0.015541257336735725,0.005618787836283445,-0.015541257336735725,0.005618787836283445
S-C86j0keqc_000217_000227,Event,True,"gap 0.105, DG -0.515",0.9958059497810471,0.1053204411955001,-0.5154061041421358,True,-0.0039139981381595135,0.020675837993621826,-0.0027605353388935328,0.022056667134165764
wbOD_G3ttgU_000083_000093,How-to & Instructional,True,"gap 0.100, DG -0.264",0.9982948219222976,0.09981857813019979,-0.26448797200646146,True,0.017700964584946632,0.05326037108898163,0.01898784562945366,0.05666866898536682
RjPp0ZPW0yc_000000_000010,How-to & Instructional,True,"gap 0.228, DG -0.417",0.0,0.2282156072672632,-0.4170288343487258,True,0.000673371774610132,0.010814393870532513,0.000673371774610132,0.010814393870532513
8vkNr_eysXY_000002_000012,How-to & Instructional,True,"gap 0.285, DG -0.121",0.9869083599526195,0.28544253278590037,-0.12110402162713141,True,0.009686821140348911,0.016985751688480377,0.005611846689134836,0.013686816208064556
