clip_idx,video_id,category,duration_s,tier3_va11y_text,all4_fail,low_tier3_margin,tier2_tier1_inversion,quality_risk_fail,target,risk_score,video,ok,msg,alignment_cosine,accessibility_gap,description_gain,audio_only_ok,video_mean_lh,video_mean_rh,video_ad_mean_lh,video_ad_mean_rh
12,abaLFY_GI8k_000295_000305,Sports,23.84,"A group of boys is playing volleyball on an outdoor dirt court. The net is slightly broken, and the setting is casual. One boy serves the ball, and another jumps to spike it over the net. The players are wearing shorts and are engaged in the game, communicating in a foreign language. The scene is lively, with the boys moving energetically across the court.",1.0,0,1,1,1,0.280861072744793,clip_12.mp4,True,"gap 0.272, DG -0.072",0.9970966668619787,0.2719454709480146,-0.07203530430871374,True,0.029400430619716644,0.062307216227054596,0.025145525112748146,0.055587317794561386
15,OGWuj_FtaQc_000010_000020,Pets & Animals,16.39,"A man in a green shirt and navy shorts walks back and forth along a fence. On the other side, a small deer mirrors his movements, following him closely. The setting appears to be a zoo or animal enclosure, with the man playfully engaging the deer in a game of follow-the-leader.",1.0,1,0,1,1,0.2450350738936531,clip_15.mp4,True,"gap 0.192, DG -0.552",0.0,0.19226284953845307,-0.5518449171324935,True,0.006218615919351578,0.027984505519270897,0.006218615919351578,0.027984505519270897
11,z8Q-s8AthrA_000002_000012,Sports,16.39,"A young girl in a yellow shirt and black pants participates in a track and field event. She energetically runs and leaps over hurdles on a track. Later, she stands on the track, speaking confidently about her experience while other children play in the background. The scene shifts to her performing a high jump, landing on a cushioned surface. The video captures her enthusiasm and skill in the sport.",0.0,0,0,0,0,0.215215029814331,clip_11.mp4,True,"gap 0.110, DG -0.443",0.9010932522109787,0.10972697491725192,-0.4428179301693753,True,0.04343733564019203,0.08372163027524948,-0.0016192367766052485,0.024139581248164177
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,"In a cozy kitchen, a young girl stands at the stove, skillfully stirring scrambled eggs in a frying pan with a spatula. She mentions that the eggs are for her and her mother, if her mother wants some. The girl is focused and seems to enjoy the cooking process, occasionally glancing at the camera with a smile. The kitchen is warm and inviting, with a granite countertop and wooden cabinets in the background.",0.0,0,0,0,0,0.1237965014793331,clip_04.mp4,True,"gap 0.299, DG -0.139",0.9932085395363259,0.2986524298433463,-0.13870976286210657,True,0.024771451950073242,0.048861075192689896,0.020128848031163216,0.04321017488837242
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,"A man in a grey shirt stands at a stove, demonstrating how to cook an omelette with spaghetti and eggs in a black cast iron skillet. He stirs the mixture with a fork, moving the pan back and forth to ensure even cooking. The ingredients sizzle as he explains each step of the process.",0.0,0,0,0,0,0.1174465648562957,clip_03.mp4,True,"gap 0.098, DG -0.129",0.9640192480894442,0.09844685606074888,-0.12907377515885177,True,0.03430355712771416,0.015584453009068966,0.012737923301756382,0.012050573714077473
19,qIWQHyOIpEY_000003_000013,Pets & Animals,20.86,"In a dimly lit living room, three cats are on a hardwood floor. An orange cat stands over a black and white cat that is lying down, gently swatting at it. Another cat, partially visible, sits nearby. The room is quiet, with soft murmurs in a non-English language in the background.",0.0,0,0,0,0,0.1171860557291687,clip_19.mp4,True,"gap 0.126, DG -0.516",0.9886151827484192,0.12573551572242592,-0.5164259212963715,True,-0.035718273371458054,-0.000972683250438422,-0.026670491322875023,0.010671872645616531
14,UDD6YcChywc_000000_000010,Sports,16.39,"In an indoor curling rink, a man skillfully slides a curling stone down the ice. As he releases the stone, he loses his balance and falls onto the ice. A small group of onlookers reacts with laughter and concern, checking to see if he is okay.",0.0,0,0,0,0,0.0644179718060927,clip_14.mp4,True,"gap 0.343, DG -0.385",0.9999999999965444,0.3433712825438816,-0.38504831692161484,True,-0.007530608680099249,0.01567908748984337,-0.007530608680099249,0.01567908748984337
17,gjoZic4WjiQ_000012_000022,Pets & Animals,19.37,"In a snowy playground, a girl in a red hat runs up a steep, snow-covered hill between two blue slides. She slips halfway and slides back down, laughing. Another girl, wearing a knitted hat, eagerly takes her turn, attempting to climb the same hill. The scene is filled with laughter and playful attempts as they enjoy the snowy challenge.",0.0,0,0,0,0,0.045903849237172,clip_17.mp4,True,"gap 0.123, DG -0.204",0.9920502516547521,0.12337978782273751,-0.20362789203162757,True,0.03917081654071808,0.08243013918399811,0.034038763493299484,0.07514657080173492
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,16.39,"In a kitchen setting, two individuals demonstrate how to prepare a spinach salad. One person drops chopped garlic from a knife into a large wooden bowl filled with fresh spinach leaves. The other person uses their hands to thoroughly mix the garlic and spinach together. The video focuses on the process of combining these ingredients to create a healthy salad.",0.0,0,0,0,0,0.0,clip_05.mp4,True,"gap 0.152, DG -0.154",0.9840319747479354,0.15166239091569766,-0.15426213447196913,True,0.06182500347495079,0.058992866426706314,0.04553431645035744,0.051643166691064835
8,hOirknJr3os_000001_000011,Travel,16.39,"The video begins with a sign for KOA Ranch, featuring a silhouette of a horse. Horses graze peacefully in a sunlit pasture. The scene shifts to a group of people riding horses along a wooded trail, accompanied by a song about camping. This advertisement highlights the scenic beauty and horse riding experiences offered at KOA campgrounds.",0.0,0,0,0,0,0.0,clip_08.mp4,True,"gap 0.180, DG -0.174",0.9784949764418776,0.1798257689921754,-0.17446029667303486,True,0.0062354872934520245,0.03443531692028046,-0.010415022261440754,0.017030002549290657
1,058y9xGmmTQ_000206_000216,Food & Cooking,16.39,"In a Burger King restaurant, a bald man in a gray hoodie is rapidly eating a hamburger. He takes quick bites and washes them down with a drink. As he continues, he appears to struggle slightly, coughing at times. Around him, people are laughing and clapping, encouraging him to finish. Afterward, someone uses ketchup to write 'BURGER EATING' on a tray liner.",0.0,0,0,0,0,0.0,clip_01.mp4,True,"gap 0.085, DG -0.185",0.9002979938310343,0.08463107648035506,-0.1852921302406726,True,0.05401652306318283,0.0760408490896225,0.028362540528178215,0.04491269588470459
