video_id,q_idx,condition,score,matched
0t0DB1B1w8Y_000000_000010,0,baseline,1.0,0
0t0DB1B1w8Y_000000_000010,1,baseline,0.0,1
0t0DB1B1w8Y_000000_000010,2,baseline,0.0,0
0t0DB1B1w8Y_000000_000010,3,baseline,0.0,0
0t0DB1B1w8Y_000000_000010,4,baseline,0.5,0
0t0DB1B1w8Y_000000_000010,0,gap_targeted,1.0,0
0t0DB1B1w8Y_000000_000010,1,gap_targeted,0.5,1
0t0DB1B1w8Y_000000_000010,2,gap_targeted,0.0,0
0t0DB1B1w8Y_000000_000010,3,gap_targeted,0.0,0
0t0DB1B1w8Y_000000_000010,4,gap_targeted,0.5,0
1-jIze6gy0g_000026_000036,0,baseline,0.0,0
1-jIze6gy0g_000026_000036,1,baseline,0.0,1
1-jIze6gy0g_000026_000036,2,baseline,0.0,0
1-jIze6gy0g_000026_000036,3,baseline,0.0,0
1-jIze6gy0g_000026_000036,4,baseline,0.0,0
1-jIze6gy0g_000026_000036,0,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,1,gap_targeted,0.0,1
1-jIze6gy0g_000026_000036,2,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,3,gap_targeted,0.0,0
1-jIze6gy0g_000026_000036,4,gap_targeted,0.0,0
3su234u58DA_000172_000182,0,gap_targeted,0.5,0
3su234u58DA_000172_000182,1,gap_targeted,1.0,1
3su234u58DA_000172_000182,2,gap_targeted,0.0,0
3su234u58DA_000172_000182,3,gap_targeted,0.0,0
3su234u58DA_000172_000182,4,gap_targeted,1.0,0
3su234u58DA_000172_000182,0,baseline,0.5,0
3su234u58DA_000172_000182,1,baseline,1.0,1
3su234u58DA_000172_000182,2,baseline,0.0,0
3su234u58DA_000172_000182,3,baseline,0.0,0
3su234u58DA_000172_000182,4,baseline,1.0,0
3ufJNSez5Is_000008_000018,0,baseline,1.0,0
3ufJNSez5Is_000008_000018,1,baseline,0.0,1
3ufJNSez5Is_000008_000018,2,baseline,0.5,0
3ufJNSez5Is_000008_000018,3,baseline,0.0,0
3ufJNSez5Is_000008_000018,4,baseline,0.0,0
3ufJNSez5Is_000008_000018,0,gap_targeted,1.0,0
3ufJNSez5Is_000008_000018,1,gap_targeted,1.0,1
3ufJNSez5Is_000008_000018,2,gap_targeted,0.5,0
3ufJNSez5Is_000008_000018,3,gap_targeted,0.5,0
3ufJNSez5Is_000008_000018,4,gap_targeted,0.5,0
750QhTe9Z4U_000000_000010,0,baseline,1.0,1
750QhTe9Z4U_000000_000010,1,baseline,1.0,1
750QhTe9Z4U_000000_000010,2,baseline,0.0,0
750QhTe9Z4U_000000_000010,3,baseline,0.5,0
750QhTe9Z4U_000000_000010,4,baseline,1.0,0
750QhTe9Z4U_000000_000010,0,gap_targeted,1.0,1
750QhTe9Z4U_000000_000010,1,gap_targeted,1.0,1
750QhTe9Z4U_000000_000010,2,gap_targeted,1.0,0
750QhTe9Z4U_000000_000010,3,gap_targeted,0.5,0
750QhTe9Z4U_000000_000010,4,gap_targeted,1.0,0
8vkNr_eysXY_000002_000012,0,baseline,0.0,0
8vkNr_eysXY_000002_000012,1,baseline,1.0,1
8vkNr_eysXY_000002_000012,2,baseline,0.0,0
8vkNr_eysXY_000002_000012,3,baseline,0.5,0
8vkNr_eysXY_000002_000012,4,baseline,0.0,0
8vkNr_eysXY_000002_000012,0,gap_targeted,0.0,0
