clip_idx,duration_s,mean_need,total_need,slotable_debt,collision_debt,high_need_windows,mean_speech_density,slotable_debt_frac,collision_debt_frac,debt_mode,category,risk_rank,risk_score,target,quality_risk,tribe_route,all4_mean_full_order,all4_mean_tier3_margin,pro_questions,pro_yes_rate,pro_misses,pro_miss_rate,critical_questions,critical_misses,critical_miss_rate,missed_critical_examples,collision_norm,slotable_norm,unanswered_norm,risk_norm,agency_score,agency_rank,recommended_intervention
18,16.39,0.5776043280768661,9.308839062829378,0.0,9.308839062829378,4,1.0,0.0,1.0,collision,Pets & Animals,17.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.4125,5.0,0.5,2.0,0.4,2.0,2.0,1.0,What is the main subject wearing on their head? | What is the person's primary action throughout the video?,0.8347517795797486,0.0,1.0,0.0,0.542163122852912,1,interactive_vqa_first
17,19.37,0.5311074094685745,11.078900561514464,0.8615167140061953,10.21738384750827,5,0.9285714285714286,0.0777619321721241,0.922238067827876,collision,Pets & Animals,8.0,0.045903849237172,0.0,clean,extended/integrated AD likely needed,1.0,0.7366071428571429,5.0,0.5,2.0,0.4,2.0,1.0,0.5,What type of structure or equipment is the person sliding on?,0.9346597085113078,0.09266694751714258,0.5,0.16343969916715,0.49981358973331586,2,interactive_vqa_first
12,23.84,0.5182596900896645,12.355311011737603,6.339753109352962,6.015557902384641,4,0.5,0.51311967002127,0.48688032997873,balanced,Sports,1.0,0.280861072744793,1.0,tier2/tier1 inversion risk,extended/integrated AD likely needed,0.0,0.5104166666666667,5.0,0.8,1.0,0.2,2.0,0.0,0.0,,0.4726068356234158,0.6819201056751961,0.0,1.0,0.4858924188869945,3,human_review
0,14.9,0.3883963677748515,5.787105879845288,0.0,5.787105879845288,1,1.0,0.0,1.0,collision,Food & Cooking,16.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.1845238095238096,5.0,0.2,4.0,0.8,3.0,3.0,1.0,What is the man in the white shirt holding and demonstrating? | What type of setting or location is shown in most of the frames?,0.447485158831006,0.0,1.0,0.0,0.4066198055908521,4,interactive_vqa_first
15,16.39,0.5129888445731533,9.17224054096798,4.026469106334425,5.145771434633556,5,0.5,0.4389842469078441,0.561015753092156,balanced,Pets & Animals,2.0,0.2450350738936531,1.0,professional AD barely leads,extended/integrated AD likely needed,0.0,-0.025,5.0,0.5,1.0,0.2,2.0,0.0,0.0,,0.37696095655272144,0.4330973448222677,0.0,0.8724422772404151,0.37107701258508163,5,human_review
5,16.39,0.6046743141982954,10.81157673786552,0.0,10.81157673786552,5,1.0,0.0,1.0,collision,Food & Cooking,9.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.1339285714285714,5.0,0.8,1.0,0.2,3.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.35,6,extended_or_integrated_ad
7,16.39,0.4331241367776712,6.34494848202954,0.0,6.34494848202954,3,1.0,0.0,1.0,collision,Travel,14.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.3541666666666667,5.0,0.4,3.0,0.6,3.0,2.0,0.6666666666666666,What is the main subject doing in these frames? | Is the person in control of their movement or falling uncontrollably?,0.5088281988152354,0.0,0.6666666666666666,0.0,0.3447565362519991,7,interactive_vqa_first
11,16.39,0.4698312665598578,7.838373727512014,3.5273743386568857,4.310999388855128,3,0.6666666666666666,0.4500135437885676,0.5499864562114324,balanced,Sports,3.0,0.215215029814331,0.0,clean,standard AD priority,1.0,0.2833333333333333,5.0,0.8,0.0,0.0,4.0,0.0,0.0,,0.28516543075136014,0.37941343145117734,0.0,0.7662686313595622,0.30960155332970474,8,human_review
9,16.39,0.5344893854821472,9.556670212420793,0.0,9.556670212420793,5,1.0,0.0,1.0,collision,Sports,15.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.0999999999999999,5.0,0.9,0.0,0.0,2.0,0.0,0.0,,0.8620044778483944,0.0,0.0,0.0,0.30170156724693803,9,extended_or_integrated_ad
2,26.82,0.4355706961919657,11.68200607186852,9.296914780179009,2.385091291689514,4,0.1111111111111111,0.7958320448546025,0.2041679551453975,slotable,,,,,,,,,,,,0.0,,,0.0,,0.07338336723058217,1.0,0.0,0.0,0.27568417853070376,10,standard_inserted_ad
