clip_idx,video_id,category,tier,gt,description,question_model,grader_model,tribe_mean_need,candidate_id,q_idx,score,label,evidence_quote,rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,A,0,0.0,no,chef holds a cherry tomato,"Describes tomato, not mechanical/electronic device"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,A,1,0.0,no,In a bustling kitchen,Kitchen setting contradicts laboratory/technical workspace
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,A,2,0.0,no,,"No mention of wooden board, papers, or sticky notes"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,A,3,0.5,partial,The chef smiles,Mentions smile but no baseline neutral expression stated
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,A,4,0.0,no,,"No organizational materials, board, or sticky notes mentioned"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,B,0,0.0,no,a skier navigates a snowy hill,"Describes skiing, not man holding mechanical device"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,B,1,0.0,no,"At night, a skier navigates a snowy hill",Outdoor skiing contradicts laboratory/technical workspace
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,B,2,0.0,no,,No wooden board or papers mentioned
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,B,3,0.0,no,,No facial expressions or gestures described
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,B,4,0.0,no,,No organizational materials or planning elements mentioned
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,C,0,0.0,no,other man pins a cherry tomato,"Describes tomato and knife, not mechanical/electronic device"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,C,1,0.0,no,,No setting description; kitchen implied but not stated
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,C,2,0.0,no,,"No wooden board, papers, or sticky notes mentioned"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,C,3,0.0,no,,No facial expressions or emotional shifts described
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,C,4,0.0,no,,No organizational materials or planning elements mentioned
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,D,0,0.0,no,chef demonstrates throwing a knife,"Describes knife-throwing, not mechanical/electronic device"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,D,1,0.0,no,A chef in a kitchen,Kitchen contradicts laboratory/technical workspace setting
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,D,2,0.0,no,,"No wooden board, papers, or sticky notes mentioned"
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,D,3,0.0,no,,No facial expressions or gestures described
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3883963677748515,D,4,0.0,no,,No organizational materials or planning elements mentioned
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3472245020802409,A,0,1.0,yes,eating a hamburger,Directly states eating action with food item.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3472245020802409,A,1,0.5,partial,at Burger King,Mentions Burger King but omits 'BURGER EATING' text overlay.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",anthropic:claude-haiku-4-5-20251001,anthropic:claude-haiku-4-5-20251001,0.3472245020802409,A,2,0.0,no,,No description of appearance or clothing provided.
