target,feature,budget_frac,k,hits,total_pos,recall,precision,random_expected_recall,top_video_ids
adqa_fail,mean_visual_gap,0.05,3,1,10,0.1,0.3333333333333333,0.05,GOH6fBhoi2o_000010_000020;EA3HCx0yTIY_000281_000291;zTJ0Zbv1jBo_000045_000055
adqa_fail,mean_visual_gap,0.1,6,2,10,0.2,0.3333333333333333,0.1,GOH6fBhoi2o_000010_000020;EA3HCx0yTIY_000281_000291;zTJ0Zbv1jBo_000045_000055;HpRmj5ce32c_000001_000011;_TKzyWZHjm8_000002_000012;8vkNr_eysXY_000002_000012
adqa_fail,mean_visual_gap,0.2,12,3,10,0.3,0.25,0.2,GOH6fBhoi2o_000010_000020;EA3HCx0yTIY_000281_000291;zTJ0Zbv1jBo_000045_000055;HpRmj5ce32c_000001_000011;_TKzyWZHjm8_000002_000012;8vkNr_eysXY_000002_000012;2kJxrcNRS9w_000047_000057;v2Hr1CH-yb0_000076_000086;j4CKRgv3jUg_000000_000010;1HUWWCLza0w_000000_000010;F-mRnL_XmJU_000000_000010;d7_SY48r__8_000060_000070
adqa_fail,mean_visual_gap,0.3,18,4,10,0.4,0.2222222222222222,0.3,GOH6fBhoi2o_000010_000020;EA3HCx0yTIY_000281_000291;zTJ0Zbv1jBo_000045_000055;HpRmj5ce32c_000001_000011;_TKzyWZHjm8_000002_000012;8vkNr_eysXY_000002_000012;2kJxrcNRS9w_000047_000057;v2Hr1CH-yb0_000076_000086;j4CKRgv3jUg_000000_000010;1HUWWCLza0w_000000_000010;F-mRnL_XmJU_000000_000010;d7_SY48r__8_000060_000070;_oAKCHh_Av4_000003_000013;BcW6Y7eufQE_000239_000249;crjesEwF0Ks_000197_000207;dlBeUWrse3I_000019_000029;iEAWgsSvJAE_000023_000033;BHxn3qfPAl4_000018_000028
adqa_fail,max_visual_gap,0.05,3,0,10,0.0,0.0,0.05,v2Hr1CH-yb0_000076_000086;F-mRnL_XmJU_000000_000010;dlBeUWrse3I_000019_000029
adqa_fail,max_visual_gap,0.1,6,0,10,0.0,0.0,0.1,v2Hr1CH-yb0_000076_000086;F-mRnL_XmJU_000000_000010;dlBeUWrse3I_000019_000029;1HUWWCLza0w_000000_000010;_TKzyWZHjm8_000002_000012;iEAWgsSvJAE_000023_000033
adqa_fail,max_visual_gap,0.2,12,2,10,0.2,0.16666666666666666,0.2,v2Hr1CH-yb0_000076_000086;F-mRnL_XmJU_000000_000010;dlBeUWrse3I_000019_000029;1HUWWCLza0w_000000_000010;_TKzyWZHjm8_000002_000012;iEAWgsSvJAE_000023_000033;d7_SY48r__8_000060_000070;8vkNr_eysXY_000002_000012;EA3HCx0yTIY_000281_000291;S-C86j0keqc_000217_000227;iGmGQxox43I_000000_000010;BHxn3qfPAl4_000018_000028
adqa_fail,max_visual_gap,0.3,18,4,10,0.4,0.2222222222222222,0.3,v2Hr1CH-yb0_000076_000086;F-mRnL_XmJU_000000_000010;dlBeUWrse3I_000019_000029;1HUWWCLza0w_000000_000010;_TKzyWZHjm8_000002_000012;iEAWgsSvJAE_000023_000033;d7_SY48r__8_000060_000070;8vkNr_eysXY_000002_000012;EA3HCx0yTIY_000281_000291;S-C86j0keqc_000217_000227;iGmGQxox43I_000000_000010;BHxn3qfPAl4_000018_000028;zTJ0Zbv1jBo_000045_000055;GOH6fBhoi2o_000010_000020;0m0-Q0zz_-c_000112_000122;BcW6Y7eufQE_000239_000249;crjesEwF0Ks_000197_000207;HpRmj5ce32c_000001_000011
adqa_fail,category_loo_adqa_fail_rate,0.05,3,0,10,0.0,0.0,0.05,21T1JDdJgsM_000047_000057;3su234u58DA_000172_000182;F-mRnL_XmJU_000000_000010
adqa_fail,category_loo_adqa_fail_rate,0.1,6,0,10,0.0,0.0,0.1,21T1JDdJgsM_000047_000057;3su234u58DA_000172_000182;F-mRnL_XmJU_000000_000010;Z5w-wkrjHuw_000345_000355;eb-ufaFcUas_000008_000018;j4CKRgv3jUg_000000_000010
adqa_fail,category_loo_adqa_fail_rate,0.2,12,4,10,0.4,0.3333333333333333,0.2,21T1JDdJgsM_000047_000057;3su234u58DA_000172_000182;F-mRnL_XmJU_000000_000010;Z5w-wkrjHuw_000345_000355;eb-ufaFcUas_000008_000018;j4CKRgv3jUg_000000_000010;1YemrpNBpf4_000001_000011;GOH6fBhoi2o_000010_000020;ShSSAEfnyDs_000000_000010;g8Idd47kGqo_000037_000047;0m0-Q0zz_-c_000112_000122;3ufJNSez5Is_000008_000018
